Company,Role,Job Title,Country,Gender,Qualification,Work Type,Experience,Salary ($),Job Portal,Company Value ($M),Latitude,Posting Date
"Mullen, Hall and Torres",Cloud Architect,Art Teacher,France,Female,B.Tech,Contract,9.2,8086.29,Monster,3.73,51.174083616024376,2023-12-28
"Wallace, Hughes and Haynes",Art Teacher,Aerospace Engineer,Brazil,Male,MBA,Part time,2.5,10732.46,Naukri,5.9,59.97537301382212,2023-05-12
White Group,Account Director,Account Director,Brazil,Female,B.Tech,Contract,3.5,10968.81,Monster,2.34,59.97537301382212,2023-11-29
Crawford-Morrison,Data Engineer,Art Teacher,Australia,Male,B.Tech,Contract,1.4,14952.56,Naukri,3.09,-66.90707543854938,2023-08-17
"Byrd, Randall and Crosby",Data Scientist,Data Scientist,India,Female,PhD,Part time,7.0,12711.77,Naukri,5.82,-3.9308056415674457,2023-06-27
"Cabrera, Lee and Caldwell",Data Scientist,Art Teacher,Brazil,Male,B.Tech,Intern,9.7,5677.88,LinkedIn,5.58,59.97537301382212,2023-12-28
Thomas-Johnson,Art Teacher,Aerospace Engineer,UK,Male,B.Tech,Full time,8.7,15893.34,Indeed,7.81,-26.85430197714004,2023-06-14
"Wallace, Hughes and Haynes",Aerospace Engineer,Data Scientist,UK,Female,B.Tech,Contract,9.0,8832.42,LinkedIn,3.83,-26.85430197714004,2023-08-02
Mccann Group,Art Teacher,Art Teacher,France,Female,B.Tech,Intern,5.9,6272.61,Monster,4.51,51.174083616024376,2023-07-26
Mccann Group,UX Designer,Data Scientist,France,Female,B.Tech,Intern,8.3,10397.0,LinkedIn,9.03,51.174083616024376,2023-02-07
"Allen, Williams and Spears",Account Director,Aerospace Engineer,France,Female,M.Tech,Part time,8.6,16364.63,LinkedIn,1.72,51.174083616024376,2023-12-04
"Byrd, Randall and Crosby",Aerospace Engineer,Data Scientist,USA,Male,B.Tech,Part time,6.6,6696.94,Naukri,9.02,66.92586787149776,2023-05-24
"Anderson, Wong and Hall",Account Director,Account Director,UK,Male,B.Tech,Contract,5.2,5630.98,Naukri,1.68,-26.85430197714004,2023-05-26
"Mullen, Hall and Torres",Aerospace Engineer,Aerospace Engineer,UK,Male,B.Tech,Contract,4.7,19841.26,Naukri,3.83,-26.85430197714004,2023-12-03
"Hutchinson, Snyder and Bennett",Data Scientist,Aerospace Engineer,India,Female,B.Tech,Intern,6.6,19875.68,Monster,3.98,-3.9308056415674457,2023-06-29
Schultz-Adams,Account Director,Art Teacher,Brazil,Female,B.Tech,Full time,3.8,17669.11,Naukri,7.42,59.97537301382212,2023-09-02
"Humphrey, Nash and Lee",Art Teacher,Account Director,UK,Male,B.Tech,Contract,1.9,5001.68,Monster,6.7,-26.85430197714004,2023-09-04
"Zimmerman, Ellis and Smith",Account Director,Aerospace Engineer,Australia,Female,MBA,Part time,7.1,11013.06,Naukri,7.8,-66.90707543854938,2023-04-19
"Cabrera, Lee and Caldwell",Data Engineer,Account Director,Germany,Female,B.Tech,Contract,6.4,6102.59,Naukri,1.13,-56.96839776870654,2023-02-05
"Byrd, Randall and Crosby",Data Scientist,Aerospace Engineer,UK,Male,B.Tech,Part time,3.0,6989.98,LinkedIn,8.82,-26.85430197714004,2023-04-19
"Bradley, Hernandez and Hancock",Data Engineer,Art Teacher,Germany,Male,B.Tech,Intern,6.3,18343.62,LinkedIn,4.05,-56.96839776870654,2023-09-13
Thomas-Johnson,UX Designer,Aerospace Engineer,Brazil,Female,MBA,Contract,4.5,12785.31,Indeed,9.23,59.97537301382212,2023-07-29
Schultz-Adams,Cloud Architect,Account Director,Australia,Male,PhD,Contract,2.6,19108.63,LinkedIn,3.48,-66.90707543854938,2023-09-15
"Hutchinson, Snyder and Bennett",Art Teacher,Data Scientist,Australia,Female,B.Tech,Part time,3.8,8176.61,LinkedIn,8.36,-66.90707543854938,2023-07-01
Anderson-Evans,UX Designer,Aerospace Engineer,USA,Male,B.Tech,Part time,1.4,11310.22,Monster,7.33,66.92586787149776,2023-09-17
Bates-Juarez,Cloud Architect,Aerospace Engineer,France,Male,B.Tech,Part time,8.2,6636.98,Indeed,3.59,51.174083616024376,2023-03-09
Walsh-Smith,Cloud Architect,Account Director,UK,Female,MBA,Full time,7.2,10740.31,Monster,2.06,-26.85430197714004,2023-09-17
"Galvan, Evans and Riddle",Data Engineer,Data Scientist,USA,Male,B.Tech,Part time,8.4,14966.1,Indeed,3.8,66.92586787149776,2023-09-12
Bates-Juarez,Aerospace Engineer,Data Scientist,Germany,Male,PhD,Part time,0.7,15098.17,Monster,3.78,-56.96839776870654,2023-09-05
Leonard-Smith,UX Designer,Art Teacher,Australia,Female,B.Tech,Contract,0.3,6411.96,LinkedIn,1.54,-66.90707543854938,2023-10-29
Bates-Juarez,Cloud Architect,Art Teacher,UK,Male,B.Tech,Contract,4.8,16953.54,Monster,8.6,-26.85430197714004,2023-12-19
"Hartman, Jones and Pace",Account Director,Data Scientist,Brazil,Female,B.Tech,Part time,7.5,17577.24,Indeed,1.05,59.97537301382212,2023-08-14
Graham Ltd,UX Designer,Aerospace Engineer,Brazil,Male,PhD,Full time,4.8,10425.41,Indeed,7.64,59.97537301382212,2023-04-26
Nelson LLC,Art Teacher,Data Scientist,UK,Male,MBA,Full time,7.9,17785.43,Monster,2.43,-26.85430197714004,2023-03-12
Thomas-Johnson,Aerospace Engineer,Data Scientist,Australia,Female,PhD,Part time,5.4,11542.63,Monster,9.72,-66.90707543854938,2023-06-28
Mccann Group,UX Designer,Art Teacher,India,Female,PhD,Full time,9.5,19961.0,Naukri,1.82,-3.9308056415674457,2023-02-12
Crawford-Morrison,UX Designer,Account Director,Australia,Female,B.Tech,Intern,9.9,10415.59,Monster,9.4,-66.90707543854938,2023-09-15
Hayes-Miller,Data Scientist,Art Teacher,India,Male,MBA,Intern,1.2,15040.82,Monster,4.83,-3.9308056415674457,2023-09-16
"Hartman, Jones and Pace",Data Engineer,Aerospace Engineer,Australia,Male,B.Tech,Intern,5.8,7080.44,LinkedIn,8.11,-66.90707543854938,2023-03-03
Mccann Group,Data Engineer,Data Scientist,India,Male,B.Tech,Intern,7.3,13305.09,LinkedIn,3.1,-3.9308056415674457,2023-04-13
"Nguyen, Mccormick and Ortiz",Data Scientist,Art Teacher,Australia,Female,B.Tech,Part time,3.6,10424.2,Naukri,9.64,-66.90707543854938,2023-10-17
"Cabrera, Lee and Caldwell",Data Scientist,Art Teacher,Australia,Female,B.Tech,Part time,9.6,9817.86,Naukri,4.01,-66.90707543854938,2023-08-06
"Alvarado, Mcbride and Valenzuela",Data Scientist,Data Scientist,India,Female,MBA,Full time,3.3,7666.84,Indeed,1.23,-3.9308056415674457,2023-05-20
"Nguyen, Mccormick and Ortiz",Data Scientist,Aerospace Engineer,Brazil,Male,B.Tech,Contract,0.7,12319.52,LinkedIn,1.23,59.97537301382212,2023-04-26
"Alvarado, Mcbride and Valenzuela",Aerospace Engineer,Data Scientist,France,Male,M.Tech,Part time,3.2,9453.15,Indeed,1.5,51.174083616024376,2023-02-09
"Galvan, Evans and Riddle",Account Director,Account Director,France,Female,B.Tech,Contract,8.6,7476.17,Indeed,8.4,51.174083616024376,2023-01-25
"Anderson, Wong and Hall",Data Scientist,Data Scientist,Germany,Female,B.Tech,Contract,2.5,12551.41,Naukri,9.54,-56.96839776870654,2023-06-18
"Allen, Williams and Spears",Aerospace Engineer,Aerospace Engineer,France,Male,M.Tech,Intern,8.8,18933.15,LinkedIn,5.78,51.174083616024376,2023-11-13
"Allen, Williams and Spears",Account Director,Art Teacher,UK,Female,B.Tech,Full time,9.8,10380.0,Monster,8.31,-26.85430197714004,2023-03-05
Thomas-Johnson,Aerospace Engineer,Data Scientist,USA,Female,B.Tech,Part time,1.6,11585.31,Naukri,3.8,66.92586787149776,2023-08-04
Hayes-Miller,Aerospace Engineer,Aerospace Engineer,USA,Male,B.Tech,Part time,2.5,19112.0,Monster,6.49,66.92586787149776,2023-04-01
"Mullen, Hall and Torres",Cloud Architect,Data Scientist,Australia,Female,M.Tech,Intern,9.7,10601.38,Indeed,6.63,-66.90707543854938,2023-08-11
"Wallace, Hughes and Haynes",Cloud Architect,Account Director,Germany,Male,B.Tech,Intern,9.4,17135.48,LinkedIn,2.74,-56.96839776870654,2023-05-08
Leonard-Smith,Cloud Architect,Aerospace Engineer,Germany,Female,B.Tech,Part time,3.1,8917.16,Indeed,4.12,-56.96839776870654,2023-03-16
Crawford-Morrison,Account Director,Data Scientist,France,Male,MBA,Part time,9.1,15922.62,Monster,8.24,51.174083616024376,2023-02-14
Hayes-Miller,Data Scientist,Art Teacher,USA,Male,B.Tech,Contract,9.1,13974.58,Monster,3.81,66.92586787149776,2023-01-31
Hayes-Miller,UX Designer,Data Scientist,France,Male,M.Tech,Part time,3.3,16049.87,LinkedIn,1.53,51.174083616024376,2023-10-27
"Anderson, Wong and Hall",Account Director,Account Director,Germany,Male,M.Tech,Full time,1.3,17853.71,Monster,3.91,-56.96839776870654,2023-08-07
"Allen, Williams and Spears",Data Scientist,Account Director,Brazil,Female,B.Tech,Full time,6.8,5772.7,Naukri,4.84,59.97537301382212,2023-11-26
White Group,Art Teacher,Account Director,India,Female,M.Tech,Part time,6.0,7488.07,Indeed,6.37,-3.9308056415674457,2023-07-14
"Cabrera, Lee and Caldwell",Account Director,Aerospace Engineer,USA,Female,PhD,Contract,9.0,8598.26,Monster,1.21,66.92586787149776,2023-09-10
Crawford-Morrison,Data Engineer,Data Scientist,UK,Female,B.Tech,Full time,7.9,9367.25,Monster,7.06,-26.85430197714004,2023-04-06
"Galvan, Evans and Riddle",Account Director,Art Teacher,Australia,Male,MBA,Part time,2.9,10887.2,Naukri,8.01,-66.90707543854938,2023-12-04
Bates-Juarez,Data Scientist,Account Director,Brazil,Female,B.Tech,Part time,0.7,5574.0,Monster,4.63,59.97537301382212,2023-11-01
Mccann Group,Cloud Architect,Art Teacher,Brazil,Male,M.Tech,Contract,8.0,11163.49,Naukri,3.12,59.97537301382212,2023-09-01
"Hernandez, Henry and Roberts",UX Designer,Data Scientist,Germany,Male,B.Tech,Contract,4.3,10046.98,LinkedIn,7.18,-56.96839776870654,2023-10-21
"Byrd, Randall and Crosby",Account Director,Data Scientist,Australia,Male,M.Tech,Full time,7.0,15146.54,Indeed,5.15,-66.90707543854938,2023-11-08
"Pittman, Gutierrez and Munoz",Data Scientist,Account Director,Germany,Male,B.Tech,Full time,6.7,6683.57,Naukri,3.05,-56.96839776870654,2023-06-24
Hayes-Miller,Data Engineer,Art Teacher,Germany,Female,M.Tech,Contract,5.6,14709.91,LinkedIn,6.57,-56.96839776870654,2023-09-04
Williams-Lopez,Cloud Architect,Aerospace Engineer,Australia,Female,B.Tech,Contract,8.0,19147.25,LinkedIn,9.27,-66.90707543854938,2023-07-10
"Alvarado, Mcbride and Valenzuela",Aerospace Engineer,Art Teacher,Australia,Male,B.Tech,Intern,8.0,9191.94,LinkedIn,0.58,-66.90707543854938,2023-09-18
"Bradley, Hernandez and Hancock",UX Designer,Aerospace Engineer,India,Male,B.Tech,Part time,9.4,6167.27,Monster,1.11,-3.9308056415674457,2023-03-10
"Mullen, Hall and Torres",UX Designer,Data Scientist,USA,Male,B.Tech,Intern,4.0,16357.17,LinkedIn,0.86,66.92586787149776,2023-02-28
Nelson LLC,Cloud Architect,Account Director,Brazil,Female,MBA,Contract,0.4,9207.66,Monster,0.68,59.97537301382212,2023-01-11
Crawford-Morrison,Data Scientist,Aerospace Engineer,UK,Female,B.Tech,Intern,1.0,19792.73,LinkedIn,4.68,-26.85430197714004,2023-01-21
Crawford-Morrison,Account Director,Art Teacher,UK,Male,B.Tech,Contract,4.7,6268.69,Indeed,6.61,-26.85430197714004,2023-11-28
"Terry, Garcia and Rogers",UX Designer,Data Scientist,Germany,Male,M.Tech,Contract,4.5,6474.08,Indeed,7.58,-56.96839776870654,2023-11-25
"Cabrera, Lee and Caldwell",Aerospace Engineer,Aerospace Engineer,Germany,Male,PhD,Intern,0.3,19886.52,Indeed,1.86,-56.96839776870654,2023-03-29
"Pittman, Gutierrez and Munoz",Data Scientist,Account Director,Brazil,Female,B.Tech,Part time,7.8,18285.26,Indeed,3.34,59.97537301382212,2023-08-02
"Alvarado, Mcbride and Valenzuela",Data Engineer,Account Director,France,Male,B.Tech,Intern,8.1,15367.82,Naukri,4.7,51.174083616024376,2023-12-30
Schultz-Adams,Account Director,Art Teacher,France,Male,B.Tech,Contract,6.2,12417.47,Monster,9.29,51.174083616024376,2023-08-14
Hayes-Miller,Data Engineer,Account Director,Germany,Male,B.Tech,Intern,0.9,6226.26,Naukri,0.81,-56.96839776870654,2023-11-13
Leonard-Smith,Art Teacher,Account Director,USA,Male,B.Tech,Intern,5.9,9871.93,Naukri,4.29,66.92586787149776,2023-04-20
Bates-Juarez,Cloud Architect,Art Teacher,Australia,Male,B.Tech,Full time,6.8,7565.32,Naukri,9.07,-66.90707543854938,2023-12-09
"Humphrey, Nash and Lee",Aerospace Engineer,Aerospace Engineer,Brazil,Female,B.Tech,Full time,2.3,7089.14,Indeed,4.54,59.97537301382212,2023-07-26
Hayes-Miller,Aerospace Engineer,Aerospace Engineer,Brazil,Male,B.Tech,Part time,9.9,7558.36,Naukri,7.61,59.97537301382212,2023-04-03
"Bradley, Hernandez and Hancock",Data Scientist,Aerospace Engineer,France,Male,B.Tech,Intern,1.3,19627.18,Indeed,5.96,51.174083616024376,2023-09-23
"Galvan, Evans and Riddle",Aerospace Engineer,Aerospace Engineer,France,Female,PhD,Intern,9.8,14109.72,Indeed,4.57,51.174083616024376,2023-04-30
Williams-Lopez,Cloud Architect,Account Director,Australia,Female,B.Tech,Part time,4.4,18696.19,Monster,5.8,-66.90707543854938,2023-06-12
"Hartman, Jones and Pace",Data Engineer,Aerospace Engineer,France,Female,PhD,Intern,4.0,11003.35,Indeed,3.45,51.174083616024376,2023-05-24
"Byrd, Randall and Crosby",UX Designer,Aerospace Engineer,India,Female,B.Tech,Full time,5.5,7623.48,Monster,5.46,-3.9308056415674457,2023-04-23
Nelson LLC,Art Teacher,Account Director,India,Male,B.Tech,Intern,3.8,8074.93,Naukri,8.7,-3.9308056415674457,2023-10-28
"Bradley, Hernandez and Hancock",UX Designer,Account Director,India,Female,PhD,Intern,6.9,6873.09,LinkedIn,0.96,-3.9308056415674457,2023-04-04
Crawford-Morrison,Data Scientist,Aerospace Engineer,Brazil,Female,B.Tech,Contract,1.3,6038.17,LinkedIn,6.33,59.97537301382212,2023-07-11
"Zimmerman, Ellis and Smith",Account Director,Aerospace Engineer,Brazil,Female,B.Tech,Contract,7.3,5896.79,Naukri,8.72,59.97537301382212,2023-06-27
"Alvarado, Mcbride and Valenzuela",Art Teacher,Account Director,USA,Female,M.Tech,Part time,3.7,9956.73,Naukri,3.59,66.92586787149776,2023-11-20
"Anderson, Wong and Hall",Art Teacher,Data Scientist,Germany,Male,B.Tech,Intern,4.0,8149.51,Monster,9.92,-56.96839776870654,2023-12-28
"Humphrey, Nash and Lee",UX Designer,Aerospace Engineer,Brazil,Female,B.Tech,Contract,6.6,17682.7,Naukri,2.93,59.97537301382212,2023-08-26
Hayes-Miller,Art Teacher,Art Teacher,Australia,Male,B.Tech,Full time,5.7,18939.17,Naukri,7.84,-66.90707543854938,2023-05-09
Williams-Lopez,Aerospace Engineer,Art Teacher,UK,Female,B.Tech,Full time,6.6,17666.48,LinkedIn,2.9,-26.85430197714004,2023-02-11
Crawford-Morrison,Aerospace Engineer,Account Director,Brazil,Male,MBA,Part time,5.5,17190.43,LinkedIn,1.1,59.97537301382212,2023-07-03
"Allen, Williams and Spears",Art Teacher,Aerospace Engineer,India,Male,B.Tech,Part time,8.0,17533.01,Indeed,4.88,-3.9308056415674457,2023-12-19
"Terry, Garcia and Rogers",Account Director,Data Scientist,France,Female,B.Tech,Part time,3.3,6545.99,Naukri,4.27,51.174083616024376,2023-01-01
Anderson-Evans,Aerospace Engineer,Aerospace Engineer,UK,Male,B.Tech,Full time,4.2,6375.15,LinkedIn,8.12,-26.85430197714004,2023-12-26
"Wallace, Hughes and Haynes",UX Designer,Aerospace Engineer,India,Male,B.Tech,Contract,6.4,12057.26,Monster,5.79,-3.9308056415674457,2023-04-20
"Anderson, Wong and Hall",Account Director,Account Director,France,Male,B.Tech,Full time,7.8,8848.94,Indeed,7.85,51.174083616024376,2023-08-05
Graham Ltd,Art Teacher,Account Director,USA,Male,B.Tech,Full time,9.2,6876.01,Naukri,2.02,66.92586787149776,2023-11-17
Williams-Lopez,UX Designer,Data Scientist,Germany,Female,B.Tech,Contract,4.4,13987.89,Naukri,1.2,-56.96839776870654,2023-08-30
Hayes-Miller,Data Engineer,Art Teacher,Australia,Female,B.Tech,Intern,8.6,18243.92,Indeed,7.92,-66.90707543854938,2023-02-17
"Zimmerman, Ellis and Smith",Art Teacher,Art Teacher,India,Female,B.Tech,Intern,1.6,15377.86,LinkedIn,2.33,-3.9308056415674457,2023-09-01
Anderson-Evans,Data Engineer,Art Teacher,France,Female,B.Tech,Full time,3.6,17903.03,Naukri,5.36,51.174083616024376,2023-09-13
"Zimmerman, Ellis and Smith",Data Engineer,Art Teacher,France,Female,M.Tech,Full time,2.5,16514.69,Naukri,2.43,51.174083616024376,2023-10-27
"Mullen, Hall and Torres",Account Director,Art Teacher,UK,Male,B.Tech,Full time,5.4,16658.82,Naukri,2.5,-26.85430197714004,2023-09-08
"Wallace, Hughes and Haynes",Cloud Architect,Art Teacher,USA,Female,PhD,Part time,6.4,15443.73,Indeed,5.85,66.92586787149776,2023-01-21
Schultz-Adams,Account Director,Account Director,France,Female,B.Tech,Contract,8.0,17285.82,Indeed,8.41,51.174083616024376,2023-05-28
"Humphrey, Nash and Lee",UX Designer,Data Scientist,USA,Male,B.Tech,Contract,1.0,12593.53,LinkedIn,7.91,66.92586787149776,2023-10-18
Bates-Juarez,UX Designer,Account Director,France,Female,B.Tech,Full time,1.3,17251.52,Indeed,1.54,51.174083616024376,2023-04-25
"Bradley, Hernandez and Hancock",Data Engineer,Art Teacher,USA,Female,B.Tech,Intern,7.7,14323.68,Naukri,0.52,66.92586787149776,2023-04-24
Bates-Juarez,Data Scientist,Art Teacher,Brazil,Female,B.Tech,Part time,4.1,17528.5,Naukri,8.8,59.97537301382212,2023-04-17
"Wallace, Hughes and Haynes",Data Scientist,Art Teacher,France,Male,M.Tech,Intern,3.6,15907.93,Indeed,3.12,51.174083616024376,2023-11-01
Thomas-Johnson,Cloud Architect,Art Teacher,UK,Male,PhD,Full time,0.9,18935.74,Monster,5.32,-26.85430197714004,2023-02-16
"Byrd, Randall and Crosby",Cloud Architect,Account Director,India,Female,PhD,Part time,0.5,7702.75,Monster,4.09,-3.9308056415674457,2023-04-11
"Galvan, Evans and Riddle",Data Engineer,Account Director,Germany,Female,B.Tech,Part time,5.1,10668.53,Monster,3.62,-56.96839776870654,2023-02-13
"Wallace, Hughes and Haynes",Art Teacher,Art Teacher,UK,Male,B.Tech,Full time,2.0,13042.53,Indeed,8.28,-26.85430197714004,2023-11-06
Nelson LLC,Aerospace Engineer,Data Scientist,India,Male,B.Tech,Intern,4.4,9242.98,LinkedIn,2.97,-3.9308056415674457,2023-02-18
Anderson-Evans,Data Engineer,Data Scientist,India,Female,B.Tech,Full time,5.5,9714.61,Indeed,8.4,-3.9308056415674457,2023-08-11
"Terry, Garcia and Rogers",Aerospace Engineer,Account Director,India,Male,B.Tech,Full time,1.2,8926.12,Indeed,8.84,-3.9308056415674457,2023-06-25
Mccann Group,Account Director,Data Scientist,Germany,Male,MBA,Full time,0.6,16320.55,Indeed,1.97,-56.96839776870654,2023-09-13
Nelson LLC,Cloud Architect,Account Director,USA,Female,B.Tech,Contract,6.0,18905.3,LinkedIn,5.53,66.92586787149776,2023-10-24
"Byrd, Randall and Crosby",UX Designer,Aerospace Engineer,USA,Male,M.Tech,Full time,3.0,8211.45,Indeed,8.29,66.92586787149776,2023-03-11
"Zimmerman, Ellis and Smith",Art Teacher,Account Director,UK,Male,B.Tech,Contract,6.4,11036.62,Naukri,7.29,-26.85430197714004,2023-04-28
Nelson LLC,Cloud Architect,Account Director,Australia,Female,B.Tech,Full time,2.7,18252.63,LinkedIn,8.41,-66.90707543854938,2023-01-20
"Cabrera, Lee and Caldwell",Art Teacher,Data Scientist,UK,Male,PhD,Part time,5.3,7889.58,LinkedIn,8.15,-26.85430197714004,2023-05-17
"Nguyen, Mccormick and Ortiz",UX Designer,Data Scientist,USA,Male,B.Tech,Contract,3.2,13377.05,Naukri,1.14,66.92586787149776,2023-03-03
Anderson-Evans,Art Teacher,Aerospace Engineer,Brazil,Female,B.Tech,Part time,2.4,12436.2,Monster,0.59,59.97537301382212,2023-03-22
"Cabrera, Lee and Caldwell",Account Director,Art Teacher,France,Female,M.Tech,Part time,5.4,18411.41,Monster,4.53,51.174083616024376,2023-09-23
"Bradley, Hernandez and Hancock",Cloud Architect,Aerospace Engineer,India,Female,B.Tech,Contract,3.9,9306.87,Monster,4.13,-3.9308056415674457,2023-06-01
"Pittman, Gutierrez and Munoz",Cloud Architect,Data Scientist,Brazil,Male,B.Tech,Part time,9.1,12521.15,Naukri,2.26,59.97537301382212,2023-06-07
"Hernandez, Henry and Roberts",Cloud Architect,Art Teacher,France,Male,B.Tech,Contract,2.9,17195.55,Naukri,3.43,51.174083616024376,2023-10-27
"Allen, Williams and Spears",Data Scientist,Aerospace Engineer,Germany,Female,M.Tech,Contract,8.6,14472.89,Monster,4.6,-56.96839776870654,2023-05-09
Schultz-Adams,Data Engineer,Art Teacher,UK,Female,B.Tech,Full time,5.5,8572.11,Monster,2.75,-26.85430197714004,2023-07-08
Walsh-Smith,Aerospace Engineer,Data Scientist,Germany,Male,MBA,Part time,4.6,12292.02,Monster,4.79,-56.96839776870654,2023-08-06
Schultz-Adams,Data Engineer,Aerospace Engineer,UK,Male,B.Tech,Part time,2.7,14150.19,Naukri,5.44,-26.85430197714004,2023-03-03
"Wallace, Hughes and Haynes",Data Scientist,Aerospace Engineer,Germany,Male,B.Tech,Contract,9.7,17352.48,Naukri,1.37,-56.96839776870654,2023-09-01
"Pittman, Gutierrez and Munoz",Art Teacher,Art Teacher,Brazil,Male,B.Tech,Intern,0.6,17157.77,Indeed,8.41,59.97537301382212,2023-04-14
"Cabrera, Lee and Caldwell",Art Teacher,Aerospace Engineer,France,Male,B.Tech,Part time,5.8,16069.11,Monster,4.98,51.174083616024376,2023-05-09
Mccann Group,UX Designer,Data Scientist,France,Male,B.Tech,Contract,5.2,12656.28,Monster,3.98,51.174083616024376,2023-07-05
Nelson LLC,UX Designer,Aerospace Engineer,Germany,Male,B.Tech,Contract,9.1,10366.57,Monster,2.25,-56.96839776870654,2023-09-28
Crawford-Morrison,Data Engineer,Data Scientist,Australia,Female,PhD,Full time,4.1,18383.33,Indeed,8.38,-66.90707543854938,2023-09-03
Williams-Lopez,Cloud Architect,Art Teacher,Australia,Female,B.Tech,Full time,7.3,5228.53,LinkedIn,2.01,-66.90707543854938,2023-12-03
Anderson-Evans,Account Director,Data Scientist,Australia,Male,B.Tech,Part time,9.1,5718.86,LinkedIn,8.44,-66.90707543854938,2023-11-16
"Mullen, Hall and Torres",Data Engineer,Art Teacher,Australia,Female,B.Tech,Full time,3.6,8942.75,Monster,8.05,-66.90707543854938,2023-10-14
Crawford-Morrison,Account Director,Aerospace Engineer,USA,Female,B.Tech,Intern,6.5,18702.22,Indeed,9.81,66.92586787149776,2023-09-01
"Zimmerman, Ellis and Smith",Cloud Architect,Account Director,India,Male,M.Tech,Contract,2.8,8131.93,Indeed,4.28,-3.9308056415674457,2023-04-14
"Byrd, Randall and Crosby",Data Scientist,Aerospace Engineer,Australia,Female,B.Tech,Full time,1.4,19893.78,Naukri,6.59,-66.90707543854938,2023-06-12
"Humphrey, Nash and Lee",Cloud Architect,Data Scientist,USA,Female,B.Tech,Full time,1.6,13997.35,Monster,4.61,66.92586787149776,2023-01-27
"Galvan, Evans and Riddle",Account Director,Aerospace Engineer,Brazil,Male,PhD,Part time,4.4,11197.51,LinkedIn,6.59,59.97537301382212,2023-04-08
Graham Ltd,Account Director,Aerospace Engineer,France,Female,M.Tech,Full time,7.3,5754.95,Indeed,4.95,51.174083616024376,2023-01-26
"Cabrera, Lee and Caldwell",Account Director,Aerospace Engineer,UK,Male,B.Tech,Contract,5.6,14517.32,Indeed,7.89,-26.85430197714004,2023-06-04
"Galvan, Evans and Riddle",Cloud Architect,Art Teacher,Germany,Male,MBA,Full time,3.7,14400.62,Naukri,3.66,-56.96839776870654,2023-03-05
"Allen, Williams and Spears",Data Scientist,Art Teacher,India,Female,B.Tech,Contract,8.2,7777.95,Naukri,0.73,-3.9308056415674457,2023-11-07
Anderson-Evans,Aerospace Engineer,Art Teacher,Germany,Female,M.Tech,Full time,9.5,7012.44,Naukri,7.64,-56.96839776870654,2023-12-01
"Hernandez, Henry and Roberts",Data Scientist,Aerospace Engineer,France,Female,B.Tech,Part time,0.9,17657.96,Monster,2.65,51.174083616024376,2023-08-21
Hayes-Miller,Aerospace Engineer,Data Scientist,India,Male,B.Tech,Contract,0.9,5696.45,Naukri,3.62,-3.9308056415674457,2023-11-29
Graham Ltd,Art Teacher,Data Scientist,Brazil,Female,M.Tech,Intern,7.5,16124.61,Naukri,1.19,59.97537301382212,2023-01-28
Schultz-Adams,Aerospace Engineer,Art Teacher,France,Female,PhD,Part time,1.1,7400.04,Monster,3.0,51.174083616024376,2023-06-16
"Mullen, Hall and Torres",Aerospace Engineer,Data Scientist,Germany,Female,B.Tech,Contract,3.3,8822.45,LinkedIn,6.87,-56.96839776870654,2023-11-18
"Byrd, Randall and Crosby",Cloud Architect,Art Teacher,India,Male,B.Tech,Part time,2.0,13877.66,Indeed,2.28,-3.9308056415674457,2023-09-21
"Pittman, Gutierrez and Munoz",Data Scientist,Aerospace Engineer,Australia,Male,MBA,Contract,9.4,5428.77,Monster,7.43,-66.90707543854938,2023-11-20
"Bradley, Hernandez and Hancock",UX Designer,Art Teacher,India,Female,B.Tech,Intern,6.5,10897.12,Naukri,3.38,-3.9308056415674457,2023-09-12
White Group,Account Director,Aerospace Engineer,India,Female,B.Tech,Part time,8.6,5087.27,LinkedIn,6.39,-3.9308056415674457,2023-05-21
"Hernandez, Henry and Roberts",Cloud Architect,Aerospace Engineer,India,Male,PhD,Part time,6.7,19379.39,LinkedIn,2.21,-3.9308056415674457,2023-12-22
Anderson-Evans,Art Teacher,Data Scientist,UK,Female,B.Tech,Contract,0.6,17731.16,Indeed,1.74,-26.85430197714004,2023-06-02
Schultz-Adams,Art Teacher,Data Scientist,Germany,Female,PhD,Intern,2.8,18022.32,Naukri,5.2,-56.96839776870654,2023-10-21
"Zimmerman, Ellis and Smith",UX Designer,Account Director,USA,Female,B.Tech,Full time,4.3,8223.25,LinkedIn,5.55,66.92586787149776,2023-10-10
"Mullen, Hall and Torres",Art Teacher,Account Director,UK,Female,B.Tech,Contract,0.6,11644.28,Monster,2.19,-26.85430197714004,2023-07-02
"Allen, Williams and Spears",Cloud Architect,Data Scientist,Brazil,Female,B.Tech,Full time,8.2,9078.3,LinkedIn,9.81,59.97537301382212,2023-09-19
"Anderson, Wong and Hall",Data Engineer,Data Scientist,Germany,Male,B.Tech,Full time,3.4,19781.13,LinkedIn,0.73,-56.96839776870654,2023-04-04
Nelson LLC,UX Designer,Art Teacher,Germany,Female,B.Tech,Intern,3.2,10209.15,LinkedIn,0.72,-56.96839776870654,2023-06-12
Nelson LLC,Art Teacher,Art Teacher,India,Female,M.Tech,Intern,2.0,13525.46,Naukri,3.79,-3.9308056415674457,2023-04-06
White Group,Data Scientist,Account Director,India,Male,B.Tech,Full time,3.3,8555.84,Naukri,4.05,-3.9308056415674457,2023-06-12
